Date	Time	Calendar Week	Projectname	Operator	Serialnumber	Steepness response Chirp 1	Band	200.00Hz	209.52Hz	219.50Hz	229.95Hz	240.90Hz	252.37Hz	264.39Hz	276.98Hz	290.17Hz	303.98Hz	318.46Hz	333.62Hz	349.51Hz	366.15Hz	383.58Hz	401.85Hz	420.98Hz	441.03Hz	462.03Hz	484.03Hz	507.07Hz	531.22Hz	556.51Hz	583.01Hz	610.77Hz	639.85Hz	670.32Hz	702.24Hz	735.68Hz	770.71Hz	807.40Hz	845.85Hz	886.12Hz	928.32Hz	972.52Hz	1018.83Hz	1067.34Hz	1118.16Hz	1171.40Hz	1227.18Hz	1285.61Hz	1346.83Hz	1410.96Hz	1478.14Hz	1548.53Hz	1622.26Hz	1699.51Hz	1780.43Hz	1865.21Hz	1954.02Hz	2047.06Hz	2144.53Hz	2246.65Hz	2353.62Hz	2465.69Hz	2583.10Hz	2706.10Hz	2834.95Hz	2969.94Hz	3111.35Hz	3259.50Hz	3414.71Hz	3577.30Hz	3747.63Hz	3926.08Hz	4113.02Hz	4308.87Hz	4514.04Hz	4728.98Hz	4954.15Hz	5190.05Hz	5437.18Hz	5696.07Hz	5967.29Hz	6251.43Hz	6549.10Hz	6860.94Hz	7187.63Hz	7529.87Hz	7888.41Hz	8264.02Hz	8657.52Hz	9069.76Hz	9501.62Hz	9954.05Hz	10428.02Hz	10924.55Hz	11444.74Hz	11989.69Hz	12560.58Hz	13158.66Hz	13785.22Hz	14441.62Hz	15129.27Hz	15849.66Hz	16604.35Hz	17394.98Hz	18223.26Hz	19090.97Hz	20000.00Hz	Result	
						Upper Limit Chirp#1 PASSED	1											15.06711	15.06711	15.06711	15.06711	15.06711	15.06711	15.06711	15.06711	15.06711	15.06711	24.72364	24.72364	24.72364	24.72364	24.72364	24.72364	24.72364	24.72364	24.72364	24.72364	83.61518	83.61518	83.61518	83.61518	83.61518	83.61518	83.61518	83.61518	83.61518	83.61518	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000		
						Upper Limit Chirp#1 PASSED	2											32.71677	32.71677	32.71677	32.71677	32.71677	32.71677	32.71677	32.71677	32.71677	32.71677	36.14550	36.14550	36.14550	36.14550	36.14550	36.14550	36.14550	36.14550	36.14550	36.14550	138.42159	138.42159	138.42159	138.42159	138.42159	138.42159	138.42159	138.42159	138.42159	138.42159	51.57270	51.57270	51.57270	51.57270	51.57270	51.57270	51.57270	51.57270	51.57270	51.57270	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000		
						Upper Limit Chirp#1 PASSED	3											44.15201	44.15201	44.15201	44.15201	44.15201	44.15201	44.15201	44.15201	44.15201	44.15201	43.17768	43.17768	43.17768	43.17768	43.17768	43.17768	43.17768	43.17768	43.17768	43.17768	97.57176	97.57176	97.57176	97.57176	97.57176	97.57176	97.57176	97.57176	97.57176	97.57176	42.22109	42.22109	42.22109	42.22109	42.22109	42.22109	42.22109	42.22109	42.22109	42.22109	36.39525	36.39525	36.39525	36.39525	36.39525	36.39525	36.39525	36.39525	36.39525	36.39525	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000		
						Upper Limit Chirp#1 PASSED	4											44.91601	44.91601	44.91601	44.91601	44.91601	44.91601	44.91601	44.91601	44.91601	44.91601	46.72907	46.72907	46.72907	46.72907	46.72907	46.72907	46.72907	46.72907	46.72907	46.72907	129.41669	129.41669	129.41669	129.41669	129.41669	129.41669	129.41669	129.41669	129.41669	129.41669																					5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000		
						Upper Limit Chirp#1 PASSED	5											34.80134	34.80134	34.80134	34.80134	34.80134	34.80134	34.80134	34.80134	34.80134	34.80134	43.66350	43.66350	43.66350	43.66350	43.66350	43.66350	43.66350	43.66350	43.66350	43.66350	101.08875	101.08875	101.08875	101.08875	101.08875	101.08875	101.08875	101.08875	101.08875	101.08875																															5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000		
						Upper Limit Chirp#1 PASSED	6											56.26135	56.26135	56.26135	56.26135	56.26135	56.26135	56.26135	56.26135	56.26135	56.26135	86.50148	86.50148	86.50148	86.50148	86.50148	86.50148	86.50148	86.50148	86.50148	86.50148	205.87047	205.87047	205.87047	205.87047	205.87047	205.87047	205.87047	205.87047	205.87047	205.87047																																									5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000	5.00000		
14-03-2022	23:58:04	11	HP_C_TTP_1	ATEL_DECO	91612073029835		1	0.23886	0.28294	0.45971	0.46399	0.33591	0.36948	0.74667	0.39662	0.41158	0.35477	0.73535	1.09390	1.30662	0.43413	0.81268	0.64413	0.80787	1.61786	1.75341	1.85088	2.06294	2.08176	2.37088	2.89874	0.91427	1.36508	2.61367	3.27693	3.19406	3.82299	3.48944	4.21733	7.42827	6.19456	8.03065	6.92334	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	PASSED	
14-03-2022	23:58:04	11	HP_C_TTP_1	ATEL_DECO	91612073029835		2	0.48190	0.71564	0.52898	0.75445	0.87714	1.14745	0.81050	0.54093	0.86941	0.61726	0.73720	0.91484	1.25711	0.76599	0.75972	0.84537	1.79748	1.84493	3.26112	3.44554	3.51196	2.88984	3.65371	2.32597	2.26225	1.80916	1.85032	1.65909	2.26476	2.93006	1.90998	3.45538	4.35758	4.32970	5.75501	8.16297	7.20330	6.50704	7.68855	8.95746	12.68864	11.26763	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	PASSED	
14-03-2022	23:58:04	11	HP_C_TTP_1	ATEL_DECO	91612073029835		3	0.57176	0.68431	1.31441	0.81081	0.99279	1.96341	1.30663	1.14024	1.79480	1.56569	1.95458	1.44348	1.14572	1.23243	0.93850	1.84755	2.05035	1.48827	1.48427	1.75100	2.53782	1.93018	2.09829	2.58090	2.11730	2.00412	1.82760	2.07954	3.03561	1.72924	4.04721	4.26577	5.20555	4.95221	3.10603	3.30124	4.25530	4.15647	5.27026	4.35714	7.39642	5.62990	4.11591	5.89918	5.59601	7.48694	8.97568	7.69710	6.54984	7.76309	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	PASSED	
14-03-2022	23:58:04	11	HP_C_TTP_1	ATEL_DECO	91612073029835		4	0.58856	1.41210	2.79886	1.37489	3.94480	1.98468	2.73716	1.86638	3.75897	2.77652	3.09486	2.20690	1.95450	3.23076	1.33797	1.50330	1.87822	2.45270	2.41204	2.68387	2.31544	3.24180	4.22605	3.30729	3.87118	3.23609	1.68590	1.55187	2.28009	1.97673	1.80706	3.13384	4.17768	5.76011	2.30464	2.32671	2.43507	3.04525	4.93448	7.55073	5.55181	5.48971	3.22704	3.32637	4.39534	6.29966	12.88863	11.34340	3.13282	8.34629	10.00643	12.41388	9.53157	8.11994	9.05950	11.23214	12.46434	12.25479	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	PASSED	
